ID_HECHOS_LESIONES,N_VICTIMAS,AAAA,FECHA,HORA,comuna,tipo_calle,geocodificacion_CABA,longitud,latutid,victima,acusado,participantes,gravedad
LC-2021-0153684,1,2021,2021-04-05 00:00:00,18.0,14,CALLE,Point (104370.266762619 104649.025680484),-58.415664132359,-34.587352701327,,,SD-SD,GRAVE
LC-2021-0154112,1,2021,2021-04-05 00:00:00,22.0,3,AVENIDA,Point (105304.230908591 102739.356026881),-58.405472227484,-34.604562939849,,TRANSPORTE PUBLICO,SD-TRANSPORTE PUBLICO,GRAVE
LC-2021-0154616,1,2021,2021-04-06 00:00:00,10.0,,,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0154694,2,2021,2021-04-06 00:00:00,9.0,14,AVENIDA,Point (103965.45958231 107084.948127687),-58.420087690578,-34.565395790276,PEATON,CICLISTA,PEATON-CICLISTA,GRAVE
LC-2021-0163637,1,2021,2021-04-08 00:00:00,18.0,1,AVENIDA,Point (108593.079217495 102002.315893363),-58.369609375621,-34.611184833998,,,SD-SD,GRAVE
LC-2021-0163778,1,2021,2021-04-08 00:00:00,0.0,,,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0164474,1,2021,2021-04-09 00:00:00,8.0,2,AVENIDA,Point (106062.508017304 104636.051668923),-58.397218810145,-34.587461152023,MOTO,TRANSPORTE PUBLICO,MOTO-TRANSPORTE PUBLICO,GRAVE
LC-2021-0165711,1,2021,2021-04-09 00:00:00,15.0,4,AVENIDA,Point (104549.292529162 97059.7941711911),-58.413672555479,-34.655764264140,MOTO,CAMION,MOTO-CAMION,GRAVE
LC-2021-0254633,1,2021,2021-04-10 00:00:00,10.0,12,AVENIDA,Point (96944.6967608188 107291.522921573),-58.496592344858,-34.563536357833,,,SD-SD,GRAVE
LC-2021-0166702,1,2021,2021-04-10 00:00:00,,,CALLE,,,,AUTO,OBJETO FIJO,AUTO-OBJETO FIJO,GRAVE
LC-2021-0171457,1,2021,2021-04-13 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0172800,1,2021,2021-04-14 00:00:00,13.0,13,CALLE,Point (100081.319209865 107833.802646101),-58.462413277512,-34.558652688226,,,SD-SD,GRAVE
LC-2021-0175578,1,2021,2021-04-15 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0178038,1,2021,2021-04-17 00:00:00,15.0,1,,Point (107526.8702169198077172 105270.64924924273509532),-58.381263,-34.581731,,AUTO,SD-AUTO,GRAVE
LC-2021-0182928,1,2021,2021-04-20 00:00:00,18.0,12,AVENIDA,Point (97699.9873998583 108244.380721074),-58.488359472167,-34.554948838643,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0197961,1,2021,2021-04-29 00:00:00,0.0,,,,,,MOTO,PEATON,MOTO-PEATON,GRAVE
LC-2021-0200771,1,2021,2021-05-02 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0200839,1,2021,2021-05-02 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0202900,1,2021,2021-05-03 00:00:00,14.0,7,AVENIDA,Point (99445.0477170627 99711.7967673542),-58.469352016501,-34.631867819019,,,SD-SD,GRAVE
LC-2021-0208251,1,2021,2021-05-06 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0213615,1,2021,2021-05-10 00:00:00,0.0,,,,,,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0216071,1,2021,2021-05-11 00:00:00,21.0,1,CALLE,Point (107322.226611842 102292.714165845),-58.383467956071,-34.608576851352,,,SD-SD,GRAVE
LC-2021-0222559,1,2021,2021-05-15 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0224497,1,2021,2021-05-17 00:00:00,0.0,,,,,,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0227471,1,2021,2021-05-19 00:00:00,0.0,,,,,,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0227765,1,2021,2021-05-19 00:00:00,0.0,,,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0232800,1,2021,2021-05-22 00:00:00,0.0,,,,,,MOTO,TRANSPORTE PUBLICO,MOTO-TRANSPORTE PUBLICO,GRAVE
LC-2021-0232863,1,2021,2021-05-22 00:00:00,18.0,,,Point (102172.72535845117818099 97899.95115758856991306),-58.4396002347162,-34.6481984609142,,,SD-SD,GRAVE
LC-2021-0232929,1,2021,2021-05-22 00:00:00,23.0,11,CALLE,Point (100152.138829979 102190.681634036),-58.461640971678,-34.609522337125,,,SD-SD,GRAVE
LC-2021-0233331,1,2021,2021-05-23 00:00:00,15.0,13,AVENIDA,Point (100606.166514895 107458.454933479),-58.456694222976,-34.562036108595,,,SD-SD,GRAVE
LC-2021-0233690,1,2021,2021-05-24 00:00:00,0.0,,,,,,MOTO,OBJETO FIJO,MOTO-OBJETO FIJO,GRAVE
