ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2017-0080,PEATON,FEMENINO,95,2017-06-22 00:00:00
2017-0082,PEATON,MASCULINO,36,2017-06-25 00:00:00
2017-0083,CONDUCTOR,MASCULINO,37,2017-07-04 00:00:00
2017-0084,PEATON,FEMENINO,73,2017-07-05 00:00:00
2017-0085,PEATON,MASCULINO,84,2017-07-07 00:00:00
2017-0086,PEATON,FEMENINO,30,2017-07-09 00:00:00
2017-0087,PEATON,FEMENINO,73,2017-07-10 00:00:00
2017-0088,PEATON,MASCULINO,43,2017-07-10 00:00:00
2017-0089,SD,MASCULINO,23,SD
2017-0090,PEATON,MASCULINO,22,2017-07-15 00:00:00
2017-0091,CONDUCTOR,MASCULINO,58,2017-07-15 00:00:00
2017-0092,PEATON,MASCULINO,66,2017-07-24 00:00:00
2017-0093,PEATON,MASCULINO,SD,2017-07-25 00:00:00
2017-0094,CICLISTA,FEMENINO,56,2017-07-27 00:00:00
2017-0095,CONDUCTOR,MASCULINO,36,2017-08-06 00:00:00
2017-0096,PEATON,MASCULINO,87,2017-08-07 00:00:00
2017-0098,PEATON,FEMENINO,61,2017-08-08 00:00:00
2017-0099,CICLISTA,MASCULINO,28,2017-08-17 00:00:00
2017-0100,PASAJERO_ACOMPAÑANTE,FEMENINO,16,2017-08-21 00:00:00
2017-0101,PEATON,FEMENINO,61,2017-08-23 00:00:00
2017-0102,PEATON,MASCULINO,46,2017-08-24 00:00:00
2017-0104,PEATON,FEMENINO,18,2017-08-25 00:00:00
2017-0106,PEATON,FEMENINO,85,2017-08-31 00:00:00
2017-0107,CONDUCTOR,MASCULINO,41,2017-09-01 00:00:00
2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,17,2017-09-02 00:00:00
2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,10,2017-09-02 00:00:00
2017-0109,CONDUCTOR,MASCULINO,21,2017-09-05 00:00:00
2017-0110,PEATON,MASCULINO,56,2017-09-07 00:00:00
2017-0111,PEATON,FEMENINO,79,2017-09-07 00:00:00
2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,1,SD
2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,SD,2017-09-13 00:00:00
2017-0113,PEATON,FEMENINO,76,2017-09-11 00:00:00
2017-0114,CONDUCTOR,MASCULINO,26,2017-09-15 00:00:00
2017-0115,CONDUCTOR,MASCULINO,34,SD
2017-0116,CONDUCTOR,MASCULINO,22,2017-09-20 00:00:00
2017-0118,PASAJERO_ACOMPAÑANTE,FEMENINO,26,2017-09-29 00:00:00
2017-0120,CONDUCTOR,MASCULINO,20,2017-10-02 00:00:00
2017-0123,PEATON,FEMENINO,36,2017-10-10 00:00:00
2017-0124,CONDUCTOR,MASCULINO,51,2017-10-12 00:00:00
2017-0125,CONDUCTOR,MASCULINO,29,2017-10-13 00:00:00
2017-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,39,SD
2017-0126,CONDUCTOR,MASCULINO,36,2017-10-14 00:00:00
2017-0127,PASAJERO_ACOMPAÑANTE,MASCULINO,24,2017-10-16 00:00:00
2017-0128,PEATON,FEMENINO,60,2017-10-17 00:00:00
2017-0129,CONDUCTOR,MASCULINO,57,2017-10-26 00:00:00
2017-0130,CONDUCTOR,MASCULINO,23,2017-10-27 00:00:00
2017-0132,CONDUCTOR,MASCULINO,23,2017-10-30 00:00:00
2017-0134,PEATON,FEMENINO,47,2017-11-06 00:00:00
2017-0135,CONDUCTOR,MASCULINO,24,2017-11-07 00:00:00
2017-0136,PEATON,MASCULINO,55,2017-11-16 00:00:00
2017-0137,PEATON,FEMENINO,60,2017-11-17 00:00:00
2017-0138,PASAJERO_ACOMPAÑANTE,MASCULINO,25,2017-11-19 00:00:00
2017-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,15,2017-11-19 00:00:00
